attempt,distance_m,interval_s,pre_recognition_settle_time_s,crop_scale,color_min_area_px,color_min_component_area_px,red_saturation_min,red_value_min,initial_gimbal_ros_deg,uwb_source,uwb_raw_azimuth_deg,uwb_ros_azimuth_deg,target_calculated_ros_deg,gimbal_command_ros_deg,servo_clipped,target_color,color_visible,color_success,color_recognition_time_ms,red_pixel_count,red_pixel_ratio_pct,red_saturation_mean,red_value_mean,color_component_area_px,color_center_distance_px,camera_frame_id,camera_captured_ns,failure_frame,status,started_at,finished_at,error_message
1,3.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,28,127.0.0.1:57848,26.0,-26.0,2.0,2.0,0,red,1,1,47.068721,2916,0.31640625,150.93518518518516,118.56550068587104,2824.0,34.539832078341085,105,26022452762080,,success,2026-07-27T20:54:50.276+09:00,2026-07-27T20:54:53.459+09:00,
2,3.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-27,127.0.0.1:57848,-16.8,16.8,-10.199999999999989,-10.199999999999989,0,red,1,1,35.900753,2616,0.2838541666666667,150.81574923547402,125.36811926605505,2530.0,128.01562404644207,150,26025459389092,,success,2026-07-27T20:54:53.460+09:00,2026-07-27T20:54:56.466+09:00,
3,3.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-2,127.0.0.1:57848,-0.1,0.1,-1.9000000000000057,-1.9000000000000057,0,red,1,1,48.585582,2838,0.3079427083333333,148.97216349541932,125.7787174066244,2746.5,40.607881008493905,194,26028656785722,,success,2026-07-27T20:54:56.467+09:00,2026-07-27T20:54:59.659+09:00,
4,3.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,40,127.0.0.1:57848,43.6,-43.6,-3.5999999999999943,-3.5999999999999943,0,red,1,1,48.034084,2465,0.2674696180555556,161.51724137931035,112.69411764705882,2376.0,85.05292469985967,241,26031855509009,,success,2026-07-27T20:54:59.660+09:00,2026-07-27T20:55:02.861+09:00,
5,3.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,49,127.0.0.1:57848,55.3,-55.3,-6.300000000000011,-6.300000000000011,0,red,1,1,51.386106,1728,0.1875,158.50810185185185,112.20775462962962,1583.5,130.00384609695206,285,26034861252220,,success,2026-07-27T20:55:02.862+09:00,2026-07-27T20:55:05.865+09:00,
6,3.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,0,127.0.0.1:57848,0.9,-0.9,-0.9000000000000057,-0.9000000000000057,0,red,1,1,49.874775,2862,0.310546875,148.64150943396226,125.66002795248077,2769.5,13.038404810405298,311,26038058075400,,success,2026-07-27T20:55:05.866+09:00,2026-07-27T20:55:09.060+09:00,
7,3.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,1,127.0.0.1:57848,0.5,-0.5,0.5,0.5,0,red,1,1,55.768566,2747,0.2980685763888889,147.29850746268656,128.55842737531853,2658.0,12.206555615733702,352,26041262061339,,success,2026-07-27T20:55:09.061+09:00,2026-07-27T20:55:12.260+09:00,
8,3.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-15,127.0.0.1:57848,-7.2,7.2,-7.800000000000011,-7.800000000000011,0,red,1,1,52.118976,2641,0.2865668402777778,144.0386217341916,126.97008708822415,2553.5,192.01041638411183,400,26044465540093,,success,2026-07-27T20:55:12.261+09:00,2026-07-27T20:55:15.464+09:00,
9,3.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,9,127.0.0.1:57848,7.3,-7.3,1.6999999999999886,1.6999999999999886,0,red,1,1,56.450008,2710,0.2940538194444444,146.16863468634685,127.24317343173432,2621.5,18.439088914585774,444,26047668124070,,success,2026-07-27T20:55:15.466+09:00,2026-07-27T20:55:18.667+09:00,
10,3.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-50,127.0.0.1:57848,-40.6,40.6,-9.400000000000006,-9.400000000000006,0,red,1,1,54.903398,1362,0.14778645833333334,142.50954478707783,133.7518355359765,1297.0,171.0263137648707,492,26050866304880,,success,2026-07-27T20:55:18.668+09:00,2026-07-27T20:55:21.867+09:00,
