attempt,distance_m,interval_s,pre_recognition_settle_time_s,crop_scale,color_min_area_px,color_min_component_area_px,red_saturation_min,red_value_min,initial_gimbal_ros_deg,uwb_source,uwb_raw_azimuth_deg,uwb_ros_azimuth_deg,target_calculated_ros_deg,gimbal_command_ros_deg,servo_clipped,target_color,color_visible,color_success,color_recognition_time_ms,red_pixel_count,red_pixel_ratio_pct,red_saturation_mean,red_value_mean,color_component_area_px,color_center_distance_px,camera_frame_id,camera_captured_ns,failure_frame,status,started_at,finished_at,error_message
17,3.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,46,127.0.0.1:57848,48.8,-48.8,-2.8000000000000114,-2.8000000000000114,0,red,0,0,,0,0.0,,,0.0,,807,26404730970618,failed_frames/attempt_017_color_not_detected.jpg,color_not_detected,2026-07-27T21:01:13.055+09:00,2026-07-27T21:01:16.063+09:00,
18,3.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,-28,127.0.0.1:57848,-19.0,19.0,-9.0,-9.0,0,red,1,1,96.746539,1315,0.14268663194444445,133.66844106463878,126.55817490494296,1237.0,567.1066919019736,853,26407802907704,,success,2026-07-27T21:01:16.064+09:00,2026-07-27T21:01:19.255+09:00,
19,3.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,-20,127.0.0.1:57848,-10.8,10.8,-9.199999999999989,-9.199999999999989,0,red,1,1,98.264168,2073,0.22493489583333331,138.89676796912687,137.1027496382055,1993.0,351.411439768258,901,26411001496738,,success,2026-07-27T21:01:19.256+09:00,2026-07-27T21:01:22.462+09:00,
20,3.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,-1,127.0.0.1:57848,0.5,-0.5,-1.5,-1.5,0,red,1,1,99.348454,2602,0.2823350694444444,142.49269792467334,138.72021521906225,2514.0,45.34313619501854,948,26414208292957,,success,2026-07-27T21:01:22.463+09:00,2026-07-27T21:01:25.666+09:00,
21,3.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,27,127.0.0.1:57848,26.0,-26.0,1.0,1.0,0,red,0,0,,0,0.0,,,0.0,,986,26417471744308,failed_frames/attempt_021_color_not_detected.jpg,color_not_detected,2026-07-27T21:01:25.667+09:00,2026-07-27T21:01:28.855+09:00,
22,3.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,-38,127.0.0.1:57848,-28.5,28.5,-9.5,-9.5,0,red,0,0,,0,0.0,,,0.0,,1034,26420674754911,failed_frames/attempt_022_color_not_detected.jpg,color_not_detected,2026-07-27T21:01:28.856+09:00,2026-07-27T21:01:32.054+09:00,
23,3.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,26,127.0.0.1:57848,24.5,-24.5,1.5,1.5,0,red,1,1,113.792643,547,0.059353298611111105,141.23583180987202,114.18829981718464,488.5,637.5460767662208,1081,26423811744868,,success,2026-07-27T21:01:32.056+09:00,2026-07-27T21:01:35.254+09:00,
24,3.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,21,127.0.0.1:57848,22.3,-22.3,-1.3000000000000114,-1.3000000000000114,0,red,1,1,49.774626,3176,0.3446180555555556,144.1404282115869,126.84477329974811,3079.0,533.4810212181873,1123,26426948544782,,success,2026-07-27T21:01:35.255+09:00,2026-07-27T21:01:38.454+09:00,
25,3.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,-3,127.0.0.1:57848,0.8,-0.8,-3.8000000000000114,-3.8000000000000114,0,red,1,1,50.356231,2695,0.2924262152777778,144.29758812615955,136.09202226345081,2604.5,56.72741841473134,1168,26429952649616,,success,2026-07-27T21:01:38.456+09:00,2026-07-27T21:01:41.459+09:00,
26,3.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,-14,127.0.0.1:57848,-6.7,6.7,-7.300000000000011,-7.300000000000011,0,red,1,1,53.126555,2328,0.25260416666666663,141.14776632302406,137.1692439862543,2244.0,226.73552875542023,1216,26433154099732,,success,2026-07-27T21:01:41.460+09:00,2026-07-27T21:01:44.655+09:00,
27,3.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,12,127.0.0.1:57848,9.9,-9.9,2.0999999999999943,2.0999999999999943,0,red,1,1,53.293905,2696,0.29253472222222227,145.73108308605342,135.4154302670623,2608.5,260.24795868555816,1261,26436156408459,,success,2026-07-27T21:01:44.656+09:00,2026-07-27T21:01:47.659+09:00,
28,3.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,-49,127.0.0.1:57848,-38.9,38.9,-10.099999999999994,-10.099999999999994,0,red,0,0,,0,0.0,,,0.0,,1299,26439491598203,failed_frames/attempt_028_color_not_detected.jpg,color_not_detected,2026-07-27T21:01:47.661+09:00,2026-07-27T21:01:50.860+09:00,
29,3.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,16,127.0.0.1:57848,16.4,-16.4,-0.4000000000000057,-0.4000000000000057,0,red,1,1,58.890746,2892,0.3138020833333333,143.93326417704012,134.76936376210236,2800.0,386.0116578550446,1345,26442559157075,,success,2026-07-27T21:01:50.861+09:00,2026-07-27T21:01:54.054+09:00,
30,3.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,38,127.0.0.1:57848,41.2,-41.2,-3.1999999999999886,-3.1999999999999886,0,red,0,0,,0,0.0,,,0.0,,1395,26445892627733,failed_frames/attempt_030_color_not_detected.jpg,color_not_detected,2026-07-27T21:01:54.056+09:00,2026-07-27T21:01:57.254+09:00,
31,3.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,-28,127.0.0.1:57848,-19.0,19.0,-9.0,-9.0,0,red,1,1,60.222384,1325,0.1437717013888889,134.04,127.16,1250.0,575.1252037600161,1441,26448961251468,,success,2026-07-27T21:01:57.256+09:00,2026-07-27T21:02:00.458+09:00,
32,3.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,24,127.0.0.1:57848,22.5,-22.5,1.5,1.5,0,red,1,1,62.962592,3053,0.3312717013888889,142.30494595479854,118.81690140845069,2948.0,609.3882178053658,1487,26452167347314,,success,2026-07-27T21:02:00.460+09:00,2026-07-27T21:02:03.659+09:00,
