attempt,distance_m,interval_s,pre_recognition_settle_time_s,crop_scale,color_min_area_px,color_min_component_area_px,red_saturation_min,red_value_min,initial_gimbal_ros_deg,uwb_source,uwb_raw_azimuth_deg,uwb_ros_azimuth_deg,target_calculated_ros_deg,gimbal_command_ros_deg,servo_clipped,target_color,color_visible,color_success,color_recognition_time_ms,red_pixel_count,red_pixel_ratio_pct,red_saturation_mean,red_value_mean,color_component_area_px,color_center_distance_px,camera_frame_id,camera_captured_ns,failure_frame,status,started_at,finished_at,error_message
1,2.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,28,127.0.0.1:39157,26.4,-26.4,1.5999999999999943,1.5999999999999943,0,red,0,0,,0,0.0,,,0.0,,88,28583121763431,failed_frames/attempt_001_color_not_detected.jpg,color_not_detected,2026-07-27T21:37:31.354+09:00,2026-07-27T21:37:34.506+09:00,
2,2.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,-27,127.0.0.1:39157,-16.4,16.4,-10.599999999999994,-10.599999999999994,0,red,1,1,47.823824,1020,0.11067708333333333,132.2078431372549,149.9078431372549,932.5,487.1190819501942,132,28586196181640,,success,2026-07-27T21:37:34.507+09:00,2026-07-27T21:37:37.705+09:00,
3,2.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,-2,127.0.0.1:39157,-0.4,0.4,-1.5999999999999943,-1.5999999999999943,0,red,1,1,42.586017,4146,0.44986979166666663,142.2129763627593,148.68210323203087,4033.0,20.591260281974,180,28589405043469,,success,2026-07-27T21:37:37.706+09:00,2026-07-27T21:37:40.914+09:00,
4,2.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,40,127.0.0.1:39157,41.4,-41.4,-1.4000000000000057,-1.4000000000000057,0,red,0,0,,0,0.0,,,0.0,,225,28592599639592,failed_frames/attempt_004_color_not_detected.jpg,color_not_detected,2026-07-27T21:37:40.915+09:00,2026-07-27T21:37:44.111+09:00,
5,2.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,49,127.0.0.1:39157,50.9,-50.9,-1.9000000000000057,-1.9000000000000057,0,red,0,0,,0,0.0,,,0.0,,261,28595933696378,failed_frames/attempt_005_color_not_detected.jpg,color_not_detected,2026-07-27T21:37:44.112+09:00,2026-07-27T21:37:47.311+09:00,
6,2.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,0,127.0.0.1:39157,0.3,-0.3,-0.30000000000001137,-0.30000000000001137,0,red,1,1,47.118517,4295,0.4660373263888889,142.81303841676367,147.27264260768337,4179.0,12.206555615733702,307,28599004144670,,success,2026-07-27T21:37:47.312+09:00,2026-07-27T21:37:50.510+09:00,
7,2.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,1,127.0.0.1:39157,1.2,-1.2,-0.19999999999998863,-0.19999999999998863,0,red,1,1,61.74406,4214,0.4572482638888889,141.76530612244898,146.45230185097296,4098.0,25.495097567963924,354,28602205031766,,success,2026-07-27T21:37:50.512+09:00,2026-07-27T21:37:53.711+09:00,
8,2.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,-15,127.0.0.1:39157,-6.8,6.8,-8.199999999999989,-8.199999999999989,0,red,1,1,48.601204,4022,0.4364149305555555,139.88264545002485,148.28269517652907,3910.5,186.86893802876924,382,28605405767581,,success,2026-07-27T21:37:53.712+09:00,2026-07-27T21:37:56.911+09:00,
9,2.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,9,127.0.0.1:39157,7.0,-7.0,2.0,2.0,0,red,1,1,55.405034,4357,0.4727647569444444,145.14023410603627,144.8689465228368,4242.0,231.05410621756974,429,28608607135311,,success,2026-07-27T21:37:56.912+09:00,2026-07-27T21:38:00.105+09:00,
10,2.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,-50,127.0.0.1:39157,-40.1,40.1,-9.900000000000006,-9.900000000000006,0,red,0,0,,0,0.0,,,0.0,,473,28611743212492,failed_frames/attempt_010_color_not_detected.jpg,color_not_detected,2026-07-27T21:38:00.107+09:00,2026-07-27T21:38:03.111+09:00,
11,2.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,-24,127.0.0.1:39157,-13.5,13.5,-10.5,-10.5,0,red,1,1,121.071076,3249,0.3525390625,135.7722376115728,147.704216682056,3143.5,391.31061830724707,517,28614878825820,,success,2026-07-27T21:38:03.112+09:00,2026-07-27T21:38:06.311+09:00,
12,2.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,44,127.0.0.1:39157,44.9,-44.9,-0.9000000000000057,-0.9000000000000057,0,red,0,0,,0,0.0,,,0.0,,549,28618147031881,failed_frames/attempt_012_color_not_detected.jpg,color_not_detected,2026-07-27T21:38:06.313+09:00,2026-07-27T21:38:09.506+09:00,
13,2.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,6,127.0.0.1:39157,5.5,-5.5,0.5,0.5,0,red,1,1,66.448296,4639,0.5033637152777778,146.3153696917439,144.51347273119205,4519.5,158.01265772082945,595,28621216896756,,success,2026-07-27T21:38:09.507+09:00,2026-07-27T21:38:12.705+09:00,
14,2.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,24,127.0.0.1:39157,22.9,-22.9,1.0999999999999943,1.0999999999999943,0,red,1,1,127.913175,357,0.038736979166666664,136.48739495798318,117.57142857142857,320.5,632.7598280548474,643,28624485995191,,success,2026-07-27T21:38:12.706+09:00,2026-07-27T21:38:15.905+09:00,
15,2.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,-34,127.0.0.1:39157,-24.5,24.5,-9.5,-9.5,0,red,,0,,,,,,,,675,28626620286637,failed_frames/attempt_015_camera_frame_timeout.jpg,camera_frame_timeout,2026-07-27T21:38:15.907+09:00,2026-07-27T21:38:18.913+09:00,
16,2.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,31,127.0.0.1:39157,30.4,-30.4,0.5999999999999943,0.5999999999999943,0,red,0,0,,0,0.0,,,0.0,,716,28630757199675,failed_frames/attempt_016_color_not_detected.jpg,color_not_detected,2026-07-27T21:38:18.914+09:00,2026-07-27T21:38:22.106+09:00,
17,2.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,46,127.0.0.1:39157,48.4,-48.4,-2.4000000000000057,-2.4000000000000057,0,red,0,0,,0,0.0,,,0.0,,761,28633759386310,failed_frames/attempt_017_color_not_detected.jpg,color_not_detected,2026-07-27T21:38:22.107+09:00,2026-07-27T21:38:25.110+09:00,
18,2.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,-28,127.0.0.1:39157,-18.9,18.9,-9.099999999999994,-9.099999999999994,0,red,1,1,77.697375,2452,0.2660590277777778,134.15986949429038,141.7989396411093,2355.0,521.3866127932323,807,28636828415555,,success,2026-07-27T21:38:25.111+09:00,2026-07-27T21:38:28.306+09:00,
