attempt,distance_m,target_color,crop_scale,interval_s,color_min_area_px,color_min_component_area_px,red_saturation_min,red_value_min,color_visible,color_recognition_time_ms,red_pixel_count,red_pixel_ratio_pct,red_hue_circular_mean_deg,red_saturation_mean,red_value_mean,red_b_mean,red_g_mean,red_r_mean,color_component_area_px,color_center_distance_px,camera_frame_id,camera_captured_ns,status,started_at,finished_at
1,2.0,red,0.6,0.2,125.0,50.0,130,110,1,54.821386,5980,0.6488715277777778,357.5851832891895,147.15,124.6195652173913,55.67876254180602,52.736789297658866,124.6195652173913,5847.0,28.42534080710379,67,29498295512447,success,2026-07-27T21:52:48.797+09:00,2026-07-27T21:52:48.885+09:00
2,2.0,red,0.6,0.2,125.0,50.0,130,110,1,36.745068,5992,0.650173611111111,357.84133357632305,147.13467957276367,124.63818424566088,55.40153538050734,52.78154205607477,124.63818424566088,5858.5,29.206163733020468,68,29498372729688,success,2026-07-27T21:52:48.891+09:00,2026-07-27T21:52:48.959+09:00
3,2.0,red,0.6,0.2,125.0,50.0,130,110,1,91.342409,6074,0.6590711805555556,357.94574130031407,147.49275600921962,125.09532433322357,55.32696740204149,52.76078366809352,125.09532433322357,5940.5,29.206163733020468,70,29498499564748,success,2026-07-27T21:52:48.962+09:00,2026-07-27T21:52:49.089+09:00
4,2.0,red,0.6,0.2,125.0,50.0,130,110,1,30.757485,6048,0.65625,357.98358331931837,147.42939814814815,125.05902777777777,55.289351851851855,52.78141534391534,125.05902777777777,5915.5,29.206163733020468,71,29498570980230,success,2026-07-27T21:52:49.094+09:00,2026-07-27T21:52:49.154+09:00
5,2.0,red,0.6,0.2,125.0,50.0,130,110,1,32.691386,6128,0.6649305555555556,358.05856818724476,148.1266318537859,125.48237597911228,55.089915143603136,52.62483681462141,125.48237597911228,5995.0,28.42534080710379,72,29498631980429,success,2026-07-27T21:52:49.157+09:00,2026-07-27T21:52:49.223+09:00
6,2.0,red,0.6,0.2,125.0,50.0,130,110,1,31.795302,6113,0.663302951388889,357.59320807334575,148.26697202682809,125.54768526091935,55.48028791100933,52.56796990021266,125.54768526091935,5979.5,29.206163733020468,73,29498703160664,success,2026-07-27T21:52:49.228+09:00,2026-07-27T21:52:49.291+09:00
7,2.0,red,0.6,0.2,125.0,50.0,130,110,1,36.936852,6120,0.6640625,357.04291555261983,148.71356209150326,125.73333333333333,55.95473856209151,52.419117647058826,125.73333333333333,5987.0,28.42534080710379,74,29498769891738,success,2026-07-27T21:52:49.295+09:00,2026-07-27T21:52:49.370+09:00
8,2.0,red,0.6,0.2,125.0,50.0,130,110,1,79.745015,6118,0.6638454861111112,357.4403290305133,148.03694017652828,125.41958156260216,55.6878064727035,52.62455050670154,125.41958156260216,5984.5,29.206163733020468,76,29498899922759,success,2026-07-27T21:52:49.375+09:00,2026-07-27T21:52:49.483+09:00
9,2.0,red,0.6,0.2,125.0,50.0,130,110,1,38.06669,6143,0.6665581597222222,357.6127565727037,148.35845678007487,125.62347387270063,55.48803516197298,52.54842910629986,125.62347387270063,6010.0,28.600699292150182,77,29498970330564,success,2026-07-27T21:52:49.486+09:00,2026-07-27T21:52:49.562+09:00
10,2.0,red,0.6,0.2,125.0,50.0,130,110,1,90.774534,6086,0.660373263888889,358.3447481096214,148.0520867564903,125.49260598093986,54.821393361813996,52.67055537298718,125.49260598093986,5955.0,29.206163733020468,79,29499103526273,success,2026-07-27T21:52:49.566+09:00,2026-07-27T21:52:49.685+09:00
