attempt,distance_m,target_color,crop_scale,interval_s,color_min_area_px,color_min_component_area_px,red_saturation_min,red_value_min,color_visible,color_recognition_time_ms,red_pixel_count,red_pixel_ratio_pct,red_hue_circular_mean_deg,red_saturation_mean,red_value_mean,red_b_mean,red_g_mean,red_r_mean,color_component_area_px,color_center_distance_px,camera_frame_id,camera_captured_ns,status,started_at,finished_at
1,1.0,red,0.6,0.2,125.0,50.0,130,110,1,59.902435,25889,2.8091362847222223,0.00044844282490430487,156.0066437483101,131.15678473482947,51.585615512379775,51.694851095059676,131.15678473482947,25613.0,59.53990258641679,49,30726878649447,success,2026-07-27T22:13:17.380+09:00,2026-07-27T22:13:17.494+09:00
2,1.0,red,0.6,0.2,125.0,50.0,130,110,1,74.242271,25773,2.7965494791666665,359.8182475104084,156.15655918984984,129.8933767896636,51.12594575718776,50.95545726147519,129.8933767896636,25494.0,59.413803110051795,51,30727017586474,success,2026-07-27T22:13:17.499+09:00,2026-07-27T22:13:17.616+09:00
3,1.0,red,0.6,0.2,125.0,50.0,130,110,1,85.897123,25922,2.812717013888889,359.8702438939279,156.8784430213718,129.5520407375974,50.70199058714606,50.6046601342489,129.5520407375974,25646.0,59.413803110051795,53,30727147252393,success,2026-07-27T22:13:17.619+09:00,2026-07-27T22:13:17.751+09:00
4,1.0,red,0.6,0.2,125.0,50.0,130,110,1,82.597106,26089,2.830837673611111,359.6662956658038,157.55394994058798,128.96163133887845,50.17720111924566,49.82563532523286,128.96163133887845,25811.5,59.413803110051795,55,30727283203384,success,2026-07-27T22:13:17.755+09:00,2026-07-27T22:13:17.875+09:00
5,1.0,red,0.6,0.2,125.0,50.0,130,110,1,89.450729,26353,2.8594835069444446,359.1488693587524,157.6634918225629,129.47155921526962,50.86198914734565,49.81527719804197,129.47155921526962,26073.5,59.53990258641679,57,30727412766619,success,2026-07-27T22:13:17.879+09:00,2026-07-27T22:13:18.015+09:00
6,1.0,red,0.6,0.2,125.0,50.0,130,110,1,86.971523,26247,2.8479817708333335,359.4101108737846,158.25469577475522,129.83826723054062,50.43353526117271,49.78050824856174,129.83826723054062,25968.5,59.413803110051795,59,30727550138286,success,2026-07-27T22:13:18.019+09:00,2026-07-27T22:13:18.144+09:00
7,1.0,red,0.6,0.2,125.0,50.0,130,110,1,35.382202,26401,2.8646918402777777,359.2684819013423,158.10961705995985,129.98973523730163,50.636604674065374,49.748077724328624,129.98973523730163,26121.0,59.53990258641679,60,30727624354038,success,2026-07-27T22:13:18.147+09:00,2026-07-27T22:13:18.228+09:00
8,1.0,red,0.6,0.2,125.0,50.0,130,110,1,73.997935,26480,2.873263888888889,359.26717769562674,158.59493957703927,130.41076283987914,50.54086102719033,49.626699395770395,130.41076283987914,26202.0,59.413803110051795,62,30727751193327,success,2026-07-27T22:13:18.232+09:00,2026-07-27T22:13:18.343+09:00
9,1.0,red,0.6,0.2,125.0,50.0,130,110,1,35.430019,26525,2.878146701388889,359.1622670419489,158.91053722902922,130.67988689915174,50.598303487276155,49.60757775683317,130.67988689915174,26250.0,59.53990258641679,63,30727823739575,success,2026-07-27T22:13:18.347+09:00,2026-07-27T22:13:18.428+09:00
10,1.0,red,0.6,0.2,125.0,50.0,130,110,1,73.23969,26604,2.88671875,359.0631157750598,158.74503834009923,130.85911892948428,50.856224627875505,49.63513005563073,130.85911892948428,26323.0,59.53990258641679,65,30727951657005,success,2026-07-27T22:13:18.432+09:00,2026-07-27T22:13:18.543+09:00
