attempt,window_started_at,target_color,color_visible,recognition_time_ms,color_center_x,color_center_y,color_center_distance_px,color_area_px,color_circularity,camera_frame_id,camera_captured_ns,detected_frame,failure_frame
42,2026-07-24T22:25:33.449+09:00,red,1,62.111,824,438,199.8499437077729,30346.0,0.8175026835426246,182,40500698494030,,
43,2026-07-24T22:25:33.649+09:00,red,1,62.491,823,439,199.32385707686876,30385.0,0.8212269753186436,185,40500899067324,,
44,2026-07-24T22:25:33.849+09:00,red,1,62.076,823,439,199.32385707686876,30307.0,0.8065000400332005,188,40501098849580,,
45,2026-07-24T22:25:34.050+09:00,red,1,61.960,824,438,199.8499437077729,30316.5,0.8256255795902216,191,40501298927577,,
46,2026-07-24T22:25:34.250+09:00,red,1,63.054,824,438,199.8499437077729,30232.0,0.8025679979227806,194,40501500214908,,
47,2026-07-24T22:25:34.450+09:00,red,1,61.881,824,441,201.03979705520993,30197.5,0.8212110247489128,197,40501699242645,,
48,2026-07-24T22:25:34.650+09:00,red,1,61.884,824,443,201.8539075668341,30321.5,0.8209206121461428,200,40501899435179,,
49,2026-07-24T22:25:34.850+09:00,red,1,61.799,825,446,204.01225453388824,30297.5,0.8179387020821574,203,40502099539287,,
50,2026-07-24T22:25:35.051+09:00,red,1,61.753,825,446,204.01225453388824,30272.0,0.7978553561753865,206,40502299695136,,
51,2026-07-24T22:25:35.251+09:00,red,1,63.284,825,447,204.43580899636933,30476.0,0.8233431815464117,209,40502501418653,,
52,2026-07-24T22:25:35.451+09:00,red,1,63.109,825,446,204.01225453388824,30307.0,0.8187774572017625,212,40502701434502,,
53,2026-07-24T22:25:35.651+09:00,red,1,63.221,825,445,203.59273071502332,30259.5,0.8141144244406563,215,40502901741092,,
54,2026-07-24T22:25:35.852+09:00,red,1,63.552,825,446,204.01225453388824,30179.0,0.797316241045991,218,40503102358793,,
55,2026-07-24T22:25:36.052+09:00,red,1,63.485,825,447,204.43580899636933,30356.0,0.801992504881707,221,40503302514550,,
56,2026-07-24T22:25:36.252+09:00,red,1,63.361,824,448,203.9607805437114,30319.5,0.8205240604437627,224,40503502614584,,
57,2026-07-24T22:25:36.452+09:00,red,1,63.287,824,449,204.39422692434343,30321.0,0.8163486061410484,227,40503702760692,,
58,2026-07-24T22:25:36.652+09:00,red,1,62.199,824,448,203.9607805437114,30287.0,0.8170739579742088,230,40503901867706,,
59,2026-07-24T22:25:36.853+09:00,red,1,61.184,825,449,205.29490982486632,30234.5,0.8142592771643056,233,40504101046115,,
60,2026-07-24T22:25:37.053+09:00,red,1,61.081,825,448,204.86336910243372,30178.0,0.7964970307117883,236,40504301158632,,
61,2026-07-24T22:25:37.253+09:00,red,1,61.204,825,448,204.86336910243372,30266.0,0.8148678101102405,239,40504501479419,,
62,2026-07-24T22:25:37.453+09:00,red,1,61.022,826,449,206.196508214858,30248.0,0.798809902171385,242,40504701492716,,
63,2026-07-24T22:25:37.653+09:00,red,1,60.915,826,448,205.7668583615933,30281.0,0.8180750381603779,245,40504901584753,,
64,2026-07-24T22:25:37.854+09:00,red,1,60.880,826,448,205.7668583615933,30375.0,0.8226117546387429,248,40505101740143,,
65,2026-07-24T22:25:38.054+09:00,red,1,60.737,827,448,206.6712365086153,30228.5,0.8129422083985156,251,40505301795939,,
66,2026-07-24T22:25:38.254+09:00,red,1,60.820,826,450,206.63010429267078,30393.0,0.8230992288472995,254,40505502075680,,
67,2026-07-24T22:25:38.454+09:00,red,1,60.667,826,448,205.7668583615933,30264.0,0.806966794226689,257,40505702125125,,
68,2026-07-24T22:25:38.654+09:00,red,1,60.654,826,448,205.7668583615933,30288.0,0.8179231967035623,260,40505902301181,,
69,2026-07-24T22:25:38.855+09:00,red,1,62.977,825,449,205.29490982486632,30331.0,0.8090882965048455,263,40506104816156,,
70,2026-07-24T22:25:39.055+09:00,red,1,60.758,825,449,205.29490982486632,30317.5,0.8224685042144995,266,40506302788959,,
71,2026-07-24T22:25:39.255+09:00,red,1,60.580,825,450,205.73040611440985,30315.0,0.8221578458778447,269,40506502800293,,
72,2026-07-24T22:25:39.455+09:00,red,1,61.689,825,448,204.86336910243372,30345.5,0.8105225695520599,272,40506704094272,,
73,2026-07-24T22:25:39.655+09:00,red,1,60.497,825,449,205.29490982486632,30336.0,0.8139584032004004,275,40506903088794,,
74,2026-07-24T22:25:39.855+09:00,red,1,60.580,825,449,205.29490982486632,30295.5,0.8119584352887319,278,40507103364553,,
75,2026-07-24T22:25:40.056+09:00,red,1,60.404,826,450,206.63010429267078,30224.5,0.7906705336767157,281,40507303378683,,
76,2026-07-24T22:25:40.256+09:00,red,1,60.326,827,451,207.9663434308542,30240.0,0.8246190008338392,284,40507503509332,,
77,2026-07-24T22:25:40.456+09:00,red,1,62.453,827,453,208.84922791334424,30237.0,0.8277377991448635,287,40507705843881,,
78,2026-07-24T22:25:40.656+09:00,red,1,60.314,828,454,210.19038988498022,30149.0,0.8392850834868674,290,40507903993554,,
79,2026-07-24T22:25:40.857+09:00,red,1,59.993,827,454,209.29644048573783,30135.0,0.8105264109579473,293,40508103864778,,
80,2026-07-24T22:25:41.057+09:00,red,1,60.047,827,454,209.29644048573783,30080.5,0.8355666608641954,296,40508304126278,,
81,2026-07-24T22:25:41.257+09:00,red,1,59.930,828,455,210.63950246807934,30220.5,0.8315944590570411,299,40508504199102,,
82,2026-07-24T22:25:41.457+09:00,red,1,60.071,829,456,211.98348992315417,30267.0,0.8277204114633612,302,40508704528901,,
83,2026-07-24T22:25:41.657+09:00,red,1,62.170,830,452,211.10187114282053,30015.0,0.8282150046504209,305,40508906860285,,
84,2026-07-24T22:25:41.858+09:00,red,1,59.835,829,452,210.20228352708256,30146.0,0.8240657750450546,308,40509104722464,,
85,2026-07-24T22:25:42.058+09:00,red,1,59.788,829,456,211.98348992315417,30201.5,0.8302282573400146,311,40509304873004,,
86,2026-07-24T22:25:42.258+09:00,red,1,61.192,828,453,209.74508337503408,30087.0,0.8128339111828184,314,40509506473947,,
87,2026-07-24T22:25:42.458+09:00,red,1,59.582,831,451,211.57031927943012,30143.0,0.8163287631547883,317,40509705065475,,
88,2026-07-24T22:25:42.658+09:00,red,1,59.542,833,452,213.80598681982693,30285.5,0.7895946129525793,320,40509905219719,,
89,2026-07-24T22:25:42.859+09:00,red,1,59.459,833,453,214.23818520515897,30521.5,0.8041971060934239,323,40510105333278,,
