attempt,distance_m,interval_s,pre_recognition_settle_time_s,crop_scale,color_min_area_px,color_min_component_area_px,red_saturation_min,red_value_min,initial_gimbal_ros_deg,uwb_source,uwb_raw_azimuth_deg,uwb_ros_azimuth_deg,target_calculated_ros_deg,gimbal_command_ros_deg,servo_clipped,target_color,color_visible,color_success,color_recognition_time_ms,red_pixel_count,red_pixel_ratio_pct,red_saturation_mean,red_value_mean,color_component_area_px,color_center_distance_px,camera_frame_id,camera_captured_ns,failure_frame,status,started_at,finished_at,error_message
1,1.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,28,127.0.0.1:39157,28.3,-28.3,-0.30000000000001137,-0.30000000000001137,0,red,1,1,38.282466,27371,2.969943576388889,167.09144715209527,121.01490628767674,27089.0,29.832867780352597,103,30386080058869,,success,2026-07-27T22:07:33.972+09:00,2026-07-27T22:07:37.091+09:00,
2,1.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-27,127.0.0.1:39157,-20.9,20.9,-6.099999999999994,-6.099999999999994,0,red,1,1,97.822243,26893,2.918077256944444,165.21079834901275,127.62692894061651,26611.0,58.0,151,30389349900340,,success,2026-07-27T22:07:37.092+09:00,2026-07-27T22:07:40.291+09:00,
3,1.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-2,127.0.0.1:39157,-3.0,3.0,1.0,1.0,0,red,1,1,66.797795,26880,2.9166666666666665,161.525,126.34583333333335,26599.5,47.38143096192854,198,30392482522363,,success,2026-07-27T22:07:40.292+09:00,2026-07-27T22:07:43.474+09:00,
4,1.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,40,127.0.0.1:39157,42.0,-42.0,-2.0,-2.0,0,red,1,1,56.026262,27090,2.939453125,166.41321520856405,122.62059800664451,26811.5,16.1245154965971,243,30395488861524,,success,2026-07-27T22:07:43.476+09:00,2026-07-27T22:07:46.488+09:00,
5,1.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,49,127.0.0.1:39157,53.3,-53.3,-4.300000000000011,-4.300000000000011,0,red,1,1,177.063292,24977,2.710177951388889,170.3490811546623,116.09801016935582,24532.0,80.30566605165541,291,30398769127869,,success,2026-07-27T22:07:46.490+09:00,2026-07-27T22:07:49.692+09:00,
6,1.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,0,127.0.0.1:39157,-1.4,1.4,1.4000000000000057,1.4000000000000057,0,red,1,1,61.99053,27134,2.9442274305555554,163.17026608682835,124.79870273457655,26853.5,53.46026561849464,336,30401892584869,,success,2026-07-27T22:07:49.693+09:00,2026-07-27T22:07:52.893+09:00,
7,1.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,1,127.0.0.1:39157,-0.9,0.9,1.9000000000000057,1.9000000000000057,0,red,1,1,61.667868,27007,2.930447048611111,162.42633391342986,126.22849631576999,26724.5,58.42088667591412,384,30405091697958,,success,2026-07-27T22:07:52.894+09:00,2026-07-27T22:07:56.085+09:00,
8,1.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-15,127.0.0.1:39157,-11.9,11.9,-3.0999999999999943,-3.0999999999999943,0,red,1,1,65.300118,27164,2.947482638888889,163.23383890443233,126.60035340892358,26884.0,3.605551275463989,431,30408296685748,,success,2026-07-27T22:07:56.087+09:00,2026-07-27T22:07:59.290+09:00,
9,1.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,9,127.0.0.1:39157,7.0,-7.0,2.0,2.0,0,red,1,1,62.731835,27027,2.9326171875,162.66955266955267,126.15362415362415,26748.0,82.49242389456137,479,30411494110337,,success,2026-07-27T22:07:59.292+09:00,2026-07-27T22:08:02.491+09:00,
10,1.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-50,127.0.0.1:39157,-40.5,40.5,-9.5,-9.5,0,red,1,1,137.107313,24889,2.7006293402777777,165.07858893487082,127.31773072441642,24628.5,174.07182425654074,527,30414763322240,,success,2026-07-27T22:08:02.492+09:00,2026-07-27T22:08:05.685+09:00,
