distance_m,interval_s,initial_gimbal_deg,uwb_raw_azimuth_deg,gimbal_command_deg,qr_visible,qr_detected
3.000000,2.000000,23,-23.1,-0.09999999999999432,False,False
3.000000,2.000000,-48,47.2,-0.8000000000000114,True,True
3.000000,2.000000,46,-44.5,1.5,True,True
3.000000,2.000000,34,-31.2,2.8000000000000114,True,True
3.000000,2.000000,-39,39.4,0.4000000000000057,True,True
3.000000,2.000000,-14,-16.6,-30.599999999999994,True,False
3.000000,2.000000,-10,9.9,-0.09999999999999432,True,True
3.000000,2.000000,-28,26.1,-1.9000000000000057,True,True
3.000000,2.000000,45,-43.2,1.8000000000000114,True,True
3.000000,2.000000,-47,49.6,2.5999999999999943,True,True
3.000000,2.000000,-30,28.5,-1.5,False,False
3.000000,2.000000,49,-2.1,46.900000000000006,True,True
3.000000,2.000000,3,-4.2,-1.1999999999999886,True,True
3.000000,2.000000,28,-28.3,-0.30000000000001137,True,True
3.000000,2.000000,29,-26.7,2.3000000000000114,True,False
3.000000,2.000000,-1,-0.1,-1.0999999999999943,True,True
3.000000,2.000000,40,-38.1,1.9000000000000057,True,True
3.000000,2.000000,-28,24.6,-3.4000000000000057,True,True
3.000000,2.000000,-46,46.6,0.5999999999999943,True,True
3.000000,2.000000,30,-57.7,-27.69999999999999,False,False
