distance_m,interval_s,initial_gimbal_deg,uwb_raw_azimuth_deg,gimbal_command_deg,qr_visible,qr_detected
3.000000,2.000000,28,-23.3,4.699999999999989,True,True
3.000000,2.000000,-27,20.2,-6.800000000000011,True,True
3.000000,2.000000,-2,0.0,-2.0,True,True
3.000000,2.000000,40,-39.0,1.0,False,False
3.000000,2.000000,49,-44.0,5.0,True,True
3.000000,2.000000,0,-2.6,-2.5999999999999943,True,True
3.000000,2.000000,1,-3.2,-2.1999999999999886,True,True
3.000000,2.000000,-15,12.1,-2.9000000000000057,False,False
3.000000,2.000000,9,-9.1,-0.09999999999999432,True,True
3.000000,2.000000,-50,51.6,1.5999999999999943,False,False
3.000000,2.000000,-24,20.5,-3.5,True,True
3.000000,2.000000,44,-42.2,1.8000000000000114,True,True
3.000000,2.000000,6,-7.0,-1.0,True,True
3.000000,2.000000,24,-21.7,2.3000000000000114,True,True
3.000000,2.000000,-34,30.2,-3.8000000000000114,True,True
3.000000,2.000000,31,-26.9,4.099999999999994,True,True
3.000000,2.000000,46,-42.9,3.0999999999999943,True,True
3.000000,2.000000,-28,27.7,-0.30000000000001137,True,True
3.000000,2.000000,-20,13.4,-6.599999999999994,True,True
3.000000,2.000000,-1,-2.0,-3.0,True,True
3.000000,2.000000,27,-26.6,0.4000000000000057,True,True
3.000000,2.000000,-38,37.1,-0.9000000000000057,True,True
3.000000,2.000000,26,-60.0,-34.0,False,False
3.000000,2.000000,21,-19.0,2.0,True,True
3.000000,2.000000,-3,2.2,-0.8000000000000114,True,True
3.000000,2.000000,-14,-56.9,-70.9,False,False
3.000000,2.000000,12,-11.1,0.9000000000000057,True,True
3.000000,2.000000,-49,49.0,0.0,True,True
3.000000,2.000000,16,-14.6,1.4000000000000057,True,True
3.000000,2.000000,38,-36.4,1.5999999999999943,True,True
3.000000,2.000000,-28,23.1,-4.900000000000006,True,True
3.000000,2.000000,24,-22.8,1.1999999999999886,True,True
3.000000,2.000000,-16,14.2,-1.8000000000000114,True,True
3.000000,2.000000,-29,29.3,0.30000000000001137,True,True
3.000000,2.000000,-40,35.0,-5.0,True,True
3.000000,2.000000,-30,28.5,-1.5,True,True
3.000000,2.000000,0,0.7,0.6999999999999886,True,True
3.000000,2.000000,3,-4.5,-1.5,True,True
3.000000,2.000000,-49,32.0,-17.0,False,False
3.000000,2.000000,26,-23.1,2.9000000000000057,True,True
3.000000,2.000000,-26,23.9,-2.0999999999999943,True,True
3.000000,2.000000,26,-25.7,0.30000000000001137,True,True
3.000000,2.000000,-8,-4.2,-12.199999999999989,True,True
3.000000,2.000000,17,-20.1,-3.0999999999999943,True,True
3.000000,2.000000,-50,53.8,3.8000000000000114,False,False
3.000000,2.000000,-14,10.3,-3.6999999999999886,True,True
3.000000,2.000000,14,-14.4,-0.4000000000000057,True,True
3.000000,2.000000,-44,43.6,-0.4000000000000057,True,True
3.000000,2.000000,20,-26.3,-6.300000000000011,True,False
3.000000,2.000000,-17,13.1,-3.9000000000000057,True,True
3.000000,2.000000,-5,0.6,-4.400000000000006,True,True
3.000000,2.000000,35,-31.7,3.3000000000000114,False,False
3.000000,2.000000,-4,2.8,-1.1999999999999886,True,True
3.000000,2.000000,5,-5.6,-0.5999999999999943,True,True
3.000000,2.000000,18,-17.8,0.19999999999998863,False,False
3.000000,2.000000,10,-12.4,-2.4000000000000057,True,True
3.000000,2.000000,-44,43.6,-0.4000000000000057,True,True
3.000000,2.000000,-30,28.8,-1.1999999999999886,True,True
3.000000,2.000000,35,-34.0,1.0,False,False
3.000000,2.000000,-26,23.4,-2.5999999999999943,True,True
3.000000,2.000000,-36,30.3,-5.699999999999989,True,True
3.000000,2.000000,23,-20.4,2.5999999999999943,True,True
3.000000,2.000000,48,-43.4,4.599999999999994,False,False
3.000000,2.000000,48,-44.4,3.5999999999999943,True,True
3.000000,2.000000,-46,45.0,-1.0,True,True
3.000000,2.000000,-5,-30.6,-35.599999999999994,True,False
3.000000,2.000000,49,-47.5,1.5,True,True
3.000000,2.000000,9,-9.5,-0.5,True,True
3.000000,2.000000,32,-30.3,1.6999999999999886,True,True
3.000000,2.000000,-45,46.8,1.8000000000000114,True,True
3.000000,2.000000,41,-39.1,1.9000000000000057,False,False
3.000000,2.000000,27,-51.5,-24.5,False,False
3.000000,2.000000,-30,27.7,-2.3000000000000114,True,True
3.000000,2.000000,-31,31.9,0.9000000000000057,True,True
3.000000,2.000000,-10,-14.6,-24.599999999999994,False,False
3.000000,2.000000,-48,48.2,0.19999999999998863,True,True
3.000000,2.000000,-24,20.9,-3.0999999999999943,True,True
3.000000,2.000000,-49,47.8,-1.1999999999999886,True,True
3.000000,2.000000,-20,-23.2,-43.19999999999999,False,False
3.000000,2.000000,-2,0.1,-1.9000000000000057,True,True
