attempt,distance_m,interval_s,pre_recognition_settle_time_s,crop_scale,color_min_area_px,color_min_component_area_px,red_saturation_min,red_value_min,initial_gimbal_ros_deg,uwb_source,uwb_raw_azimuth_deg,uwb_ros_azimuth_deg,target_calculated_ros_deg,gimbal_command_ros_deg,servo_clipped,target_color,color_visible,color_success,color_recognition_time_ms,red_pixel_count,red_pixel_ratio_pct,red_saturation_mean,red_value_mean,color_component_area_px,color_center_distance_px,camera_frame_id,camera_captured_ns,failure_frame,status,started_at,finished_at,error_message
17,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,46,127.0.0.1:39157,47.5,-47.5,-1.5,-1.5,0,red,1,1,155.357991,1911,0.20735677083333334,158.3286237571952,111.4740973312402,1698.5,10.816653826391969,836,29217399175386,,success,2026-07-27T21:48:05.105+09:00,2026-07-27T21:48:08.299+09:00,
18,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-28,127.0.0.1:39157,-20.2,20.2,-7.800000000000011,-7.800000000000011,0,red,1,1,88.051119,6077,0.659396701388889,152.22165542208327,125.21161757446109,5946.0,106.92053123698928,883,29220530946399,,success,2026-07-27T21:48:08.300+09:00,2026-07-27T21:48:11.494+09:00,
19,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-20,127.0.0.1:39157,-12.1,12.1,-7.900000000000006,-7.900000000000006,0,red,1,1,84.167499,5890,0.6391059027777778,147.9716468590832,124.50203735144314,5756.0,143.26548781894402,928,29223533713007,,success,2026-07-27T21:48:11.495+09:00,2026-07-27T21:48:14.504+09:00,
20,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-1,127.0.0.1:39157,-1.1,1.1,0.09999999999999432,0.09999999999999432,0,red,1,1,95.334488,6090,0.6608072916666666,148.811986863711,125.20788177339902,5956.5,14.866068747318506,973,29226736034410,,success,2026-07-27T21:48:14.505+09:00,2026-07-27T21:48:17.700+09:00,
21,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,27,127.0.0.1:39157,26.0,-26.0,1.0,1.0,0,red,1,1,88.103414,6348,0.6888020833333334,153.09546313799623,115.40705734089477,6211.0,17.0,1020,29229935344252,,success,2026-07-27T21:48:17.701+09:00,2026-07-27T21:48:20.899+09:00,
22,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-38,127.0.0.1:39157,-28.8,28.8,-9.199999999999989,-9.199999999999989,0,red,1,1,87.965786,5364,0.58203125,151.2660328113348,128.51323639075315,5241.0,115.26057435220423,1065,29232937430223,,success,2026-07-27T21:48:20.900+09:00,2026-07-27T21:48:23.903+09:00,
23,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,26,127.0.0.1:39157,26.8,-26.8,-0.8000000000000114,-0.8000000000000114,0,red,1,1,90.179397,6440,0.6987847222222222,153.9554347826087,116.27593167701863,6302.5,41.23105625617661,1113,29236139658814,,success,2026-07-27T21:48:23.905+09:00,2026-07-27T21:48:27.103+09:00,
24,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,21,127.0.0.1:39157,21.7,-21.7,-0.6999999999999886,-0.6999999999999886,0,red,1,1,91.141351,6316,0.6853298611111112,152.1635528815706,118.34198860037999,6181.0,23.259406699226016,1161,29239342408553,,success,2026-07-27T21:48:27.104+09:00,2026-07-27T21:48:30.306+09:00,
25,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-3,127.0.0.1:39157,-1.5,1.5,-1.5,-1.5,0,red,1,1,40.410961,6121,0.6641710069444444,149.38212710341446,124.00996569188041,5989.0,21.470910553583888,1208,29242484021163,,success,2026-07-27T21:48:30.307+09:00,2026-07-27T21:48:33.494+09:00,
26,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-14,127.0.0.1:39157,-6.8,6.8,-7.199999999999989,-7.199999999999989,0,red,1,1,31.596091,6061,0.6576605902777778,149.86734862233953,123.23279986800857,5925.0,144.12841496387864,1253,29245483661567,,success,2026-07-27T21:48:33.495+09:00,2026-07-27T21:48:36.498+09:00,
27,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,12,127.0.0.1:39157,10.4,-10.4,1.5999999999999943,1.5999999999999943,0,red,1,1,44.57736,6147,0.6669921875,148.98779892630552,120.84935741011877,6012.5,34.92849839314596,1301,29248688187225,,success,2026-07-27T21:48:36.500+09:00,2026-07-27T21:48:39.700+09:00,
28,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-49,127.0.0.1:39157,-37.7,37.7,-11.300000000000011,-11.300000000000011,0,red,1,1,45.171153,4116,0.4466145833333333,147.85276967930028,132.8109815354713,4008.5,159.13830462839547,1342,29251896269887,,success,2026-07-27T21:48:39.701+09:00,2026-07-27T21:48:42.901+09:00,
29,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,16,127.0.0.1:39157,15.4,-15.4,0.5999999999999943,0.5999999999999943,0,red,1,1,42.647183,6391,0.6934678819444444,152.117978407135,123.15850414645595,6255.0,8.48528137423857,1390,29255094867580,,success,2026-07-27T21:48:42.902+09:00,2026-07-27T21:48:46.105+09:00,
30,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,38,127.0.0.1:39157,38.2,-38.2,-0.19999999999998863,-0.19999999999998863,0,red,1,1,47.316506,2227,0.2416449652777778,157.98158958239785,111.5936237090256,1924.5,20.615528128088304,1438,29258295754158,,success,2026-07-27T21:48:46.107+09:00,2026-07-27T21:48:49.304+09:00,
31,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-28,127.0.0.1:39157,-19.6,19.6,-8.400000000000006,-8.400000000000006,0,red,1,1,49.76127,5975,0.6483289930555556,153.5066108786611,125.11665271966528,5847.5,100.2845950283492,1486,29261498421740,,success,2026-07-27T21:48:49.305+09:00,2026-07-27T21:48:52.506+09:00,
32,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,24,127.0.0.1:39157,23.6,-23.6,0.4000000000000057,0.4000000000000057,0,red,1,1,47.555824,6343,0.6882595486111112,151.69162856692418,118.35645593567713,6206.5,7.615773105863909,1534,29264695400478,,success,2026-07-27T21:48:52.509+09:00,2026-07-27T21:48:55.704+09:00,
33,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-16,127.0.0.1:39157,-9.5,9.5,-6.5,-6.5,0,red,1,1,57.590039,6205,0.6732855902777778,151.7911361804996,121.88219178082193,6069.0,123.17873193047572,1578,29267897638221,,success,2026-07-27T21:48:55.706+09:00,2026-07-27T21:48:58.896+09:00,
34,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-29,127.0.0.1:39157,-20.0,20.0,-9.0,-9.0,0,red,1,1,118.545087,6113,0.663302951388889,151.37117618190743,122.40340258465567,5979.0,134.08206442324789,1622,29270966198232,,success,2026-07-27T21:48:58.897+09:00,2026-07-27T21:49:01.907+09:00,
35,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-40,127.0.0.1:39157,-30.1,30.1,-9.900000000000006,-9.900000000000006,0,red,1,1,56.080113,5692,0.6176215277777778,148.4896345748419,128.80059732958537,5564.0,167.7647161950331,1666,29274101765585,,success,2026-07-27T21:49:01.908+09:00,2026-07-27T21:49:05.099+09:00,
36,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-30,127.0.0.1:39157,-21.2,21.2,-8.800000000000011,-8.800000000000011,0,red,1,1,58.402534,5702,0.6187065972222222,147.44072255349,125.98246229393195,5573.5,170.06469357276953,1711,29277104713091,,success,2026-07-27T21:49:05.100+09:00,2026-07-27T21:49:08.106+09:00,
37,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,0,127.0.0.1:39157,-0.6,0.6,0.5999999999999943,0.5999999999999943,0,red,1,1,133.588037,6151,0.6674262152777778,148.75434888635994,126.64119655340595,6018.5,8.06225774829855,1758,29280375348610,,success,2026-07-27T21:49:08.107+09:00,2026-07-27T21:49:11.306+09:00,
38,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,3,127.0.0.1:39157,2.4,-2.4,0.5999999999999943,0.5999999999999943,0,red,1,1,132.533598,6113,0.663302951388889,147.64681825617538,126.58563716669394,5979.5,25.709920264364882,1802,29283580048797,,success,2026-07-27T21:49:11.308+09:00,2026-07-27T21:49:14.505+09:00,
39,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-49,127.0.0.1:39157,-37.7,37.7,-11.300000000000011,-11.300000000000011,0,red,1,1,137.519381,4907,0.5324435763888888,146.23354391685348,130.07682901976767,4786.0,235.03191272676142,1849,29286778359834,,success,2026-07-27T21:49:14.507+09:00,2026-07-27T21:49:17.700+09:00,
40,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,26,127.0.0.1:39157,26.3,-26.3,-0.30000000000001137,-0.30000000000001137,0,red,1,1,60.622221,5967,0.6474609375,156.5034355622591,114.20345232109939,5872.5,39.45883931389772,1896,29289913234967,,success,2026-07-27T21:49:17.701+09:00,2026-07-27T21:49:20.906+09:00,
41,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-26,127.0.0.1:39157,-17.8,17.8,-8.199999999999989,-8.199999999999989,0,red,1,1,73.862555,5749,0.6238064236111112,147.44025047834407,120.92537832666551,5619.0,173.93389548906217,1944,29293114384723,,success,2026-07-27T21:49:20.908+09:00,2026-07-27T21:49:24.098+09:00,
42,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,26,127.0.0.1:39157,23.9,-23.9,2.0999999999999943,2.0999999999999943,0,red,1,1,145.708882,6440,0.6987847222222222,152.11739130434782,115.8442546583851,6305.0,41.30375285612676,1990,29296386534341,,success,2026-07-27T21:49:24.099+09:00,2026-07-27T21:49:27.304+09:00,
43,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-8,127.0.0.1:39157,-1.0,1.0,-7.0,-7.0,0,red,1,1,67.047177,6290,0.6825086805555556,152.0408585055644,123.27074721780605,6153.5,17.0,2035,29299519232239,,success,2026-07-27T21:49:27.305+09:00,2026-07-27T21:49:30.507+09:00,
44,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,17,127.0.0.1:39157,15.2,-15.2,1.8000000000000114,1.8000000000000114,0,red,1,1,76.224651,6313,0.6850043402777778,151.00522730872802,117.19309361634723,6176.5,26.30589287593181,2082,29302722033394,,success,2026-07-27T21:49:30.508+09:00,2026-07-27T21:49:33.698+09:00,
45,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-50,127.0.0.1:39157,-41.5,41.5,-8.5,-8.5,0,red,1,1,83.070836,3867,0.4195963541666667,146.6578743211792,131.648047582105,3760.0,177.02259742756007,2130,29305924614958,,success,2026-07-27T21:49:33.699+09:00,2026-07-27T21:49:36.898+09:00,
46,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-14,127.0.0.1:39157,-7.6,7.6,-6.400000000000006,-6.400000000000006,0,red,1,1,77.758498,6022,0.6534288194444444,149.03088674858853,123.96844902025906,5888.5,145.0,2175,29308928656167,,success,2026-07-27T21:49:36.899+09:00,2026-07-27T21:49:39.903+09:00,
47,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,14,127.0.0.1:39157,11.7,-11.7,2.3000000000000114,2.3000000000000114,0,red,1,1,92.974414,6342,0.6881510416666667,150.41359192683697,120.14001892147587,6205.5,33.54101966249684,2223,29312129967700,,success,2026-07-27T21:49:39.904+09:00,2026-07-27T21:49:43.098+09:00,
48,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-44,127.0.0.1:39157,-35.2,35.2,-8.800000000000011,-8.800000000000011,0,red,1,1,84.547868,5837,0.6333550347222222,146.7246873393867,128.7575809491177,5706.0,188.06647760831805,2264,29315331220264,,success,2026-07-27T21:49:43.099+09:00,2026-07-27T21:49:46.298+09:00,
49,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,20,127.0.0.1:39157,18.4,-18.4,1.5999999999999943,1.5999999999999943,0,red,1,1,90.551824,6303,0.6839192708333333,150.94145644930987,119.30652070442648,6168.5,25.495097567963924,2309,29318335900679,,success,2026-07-27T21:49:46.299+09:00,2026-07-27T21:49:49.303+09:00,
50,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-17,127.0.0.1:39157,-11.0,11.0,-6.0,-6.0,0,red,1,1,87.689957,6223,0.6752387152777778,151.91997428892816,122.15844448015427,6089.0,117.957619508025,2357,29321535040227,,success,2026-07-27T21:49:49.305+09:00,2026-07-27T21:49:52.502+09:00,
51,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-5,127.0.0.1:39157,-4.8,4.8,-0.19999999999998863,-0.19999999999998863,0,red,1,1,97.58039,6205,0.6732855902777778,150.34681708299757,122.38855761482675,6070.0,13.601470508735444,2405,29324739206600,,success,2026-07-27T21:49:52.504+09:00,2026-07-27T21:49:55.698+09:00,
52,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,35,127.0.0.1:39157,38.0,-38.0,-3.0,-3.0,0,red,1,1,165.985561,2990,0.3244357638888889,159.24816053511705,111.32207357859531,2707.5,73.00684899377592,2450,29327810019950,,success,2026-07-27T21:49:55.699+09:00,2026-07-27T21:49:58.703+09:00,
53,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-4,127.0.0.1:39157,-0.1,0.1,-3.9000000000000057,-3.9000000000000057,0,red,1,1,101.642245,6386,0.6929253472222222,152.12527403695586,123.5994362668337,6249.0,16.401219466856727,2496,29330947501170,,success,2026-07-27T21:49:58.704+09:00,2026-07-27T21:50:01.903+09:00,
54,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,5,127.0.0.1:39157,3.1,-3.1,1.9000000000000057,1.9000000000000057,0,red,1,1,94.980122,6175,0.6700303819444444,148.44259109311741,122.75562753036436,6041.5,36.6742416417845,2544,29334147268918,,success,2026-07-27T21:50:01.904+09:00,2026-07-27T21:50:05.102+09:00,
55,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,18,127.0.0.1:39157,16.5,-16.5,1.5,1.5,0,red,1,1,97.548563,6303,0.6839192708333333,150.03728383309536,118.26051086784072,6167.5,29.832867780352597,2592,29337347023964,,success,2026-07-27T21:50:05.103+09:00,2026-07-27T21:50:08.303+09:00,
56,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,10,127.0.0.1:39157,8.8,-8.8,1.1999999999999886,1.1999999999999886,0,red,1,1,47.312449,6277,0.6810980902777777,149.72869205034252,121.01226700653179,6142.0,20.248456731316587,2631,29340488186095,,success,2026-07-27T21:50:08.304+09:00,2026-07-27T21:50:11.497+09:00,
57,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-44,127.0.0.1:39157,-34.5,34.5,-9.5,-9.5,0,red,1,1,45.92677,4426,0.48025173611111105,151.21893357433348,127.08901943063715,4312.0,142.27438279606065,2673,29343688026784,,success,2026-07-27T21:50:11.499+09:00,2026-07-27T21:50:14.698+09:00,
58,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-30,127.0.0.1:39157,-20.1,20.1,-9.900000000000006,-9.900000000000006,0,red,1,1,37.92977,5921,0.6424696180555556,147.07262286775884,127.09964533018072,5789.0,173.93389548906217,2718,29346692616948,,success,2026-07-27T21:50:14.699+09:00,2026-07-27T21:50:17.702+09:00,
59,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,35,127.0.0.1:39157,34.3,-34.3,0.6999999999999886,0.6999999999999886,0,red,1,1,47.256177,1420,0.1540798611111111,155.8042253521127,111.08098591549296,1296.0,30.083217912982647,2766,29349895238137,,success,2026-07-27T21:50:17.703+09:00,2026-07-27T21:50:20.900+09:00,
