attempt,window_started_at,target_color,color_visible,recognition_time_ms,color_center_x,color_center_y,color_center_distance_px,color_area_px,color_circularity,camera_frame_id,camera_captured_ns,detected_frame,failure_frame
41,2026-07-24T22:26:27.925+09:00,red,0,,,,,,,188,40555249209348,,
42,2026-07-24T22:26:28.126+09:00,red,0,,,,,,,191,40555449163716,,
43,2026-07-24T22:26:28.328+09:00,red,0,,,,,,,194,40555650953778,,
44,2026-07-24T22:26:28.531+09:00,red,0,,,,,,,198,40555916365559,,
45,2026-07-24T22:26:28.753+09:00,red,0,,,,,,,201,40556116293317,,
46,2026-07-24T22:26:28.954+09:00,red,0,,,,,,,204,40556316458441,,
47,2026-07-24T22:26:29.155+09:00,red,0,,,,,,,207,40556516674009,,
48,2026-07-24T22:26:29.355+09:00,red,0,,,,,,,210,40556716725616,,
49,2026-07-24T22:26:29.556+09:00,red,0,,,,,,,213,40556917155847,,
50,2026-07-24T22:26:29.756+09:00,red,0,,,,,,,216,40557117500320,,
51,2026-07-24T22:26:29.957+09:00,red,0,,,,,,,219,40557317639408,,
52,2026-07-24T22:26:30.158+09:00,red,0,,,,,,,222,40557517355242,,
53,2026-07-24T22:26:30.361+09:00,red,0,,,,,,,225,40557717489830,,
54,2026-07-24T22:26:30.562+09:00,red,0,,,,,,,228,40557918263185,,
55,2026-07-24T22:26:30.762+09:00,red,0,,,,,,,231,40558119233297,,
56,2026-07-24T22:26:30.963+09:00,red,0,,,,,,,234,40558317824742,,
57,2026-07-24T22:26:31.164+09:00,red,0,,,,,,,237,40558517967607,,
58,2026-07-24T22:26:31.364+09:00,red,0,,,,,,,240,40558718204471,,
59,2026-07-24T22:26:31.564+09:00,red,0,,,,,,,243,40558918283207,,
60,2026-07-24T22:26:31.765+09:00,red,0,,,,,,,246,40559120596502,,
61,2026-07-24T22:26:31.966+09:00,red,0,,,,,,,249,40559319823177,,
62,2026-07-24T22:26:32.166+09:00,red,0,,,,,,,252,40559518757432,,
63,2026-07-24T22:26:32.367+09:00,red,0,,,,,,,255,40559718839983,,
64,2026-07-24T22:26:32.567+09:00,red,0,,,,,,,258,40559919022818,,
65,2026-07-24T22:26:32.768+09:00,red,0,,,,,,,261,40560119097575,,
66,2026-07-24T22:26:32.968+09:00,red,0,,,,,,,264,40560319241072,,
67,2026-07-24T22:26:33.169+09:00,red,0,,,,,,,267,40560519663050,,
68,2026-07-24T22:26:33.369+09:00,red,0,,,,,,,270,40560719472086,,
69,2026-07-24T22:26:33.570+09:00,red,0,,,,,,,273,40560920910336,,
70,2026-07-24T22:26:33.770+09:00,red,0,,,,,,,276,40561119927190,,
71,2026-07-24T22:26:33.971+09:00,red,0,,,,,,,279,40561320176132,,
72,2026-07-24T22:26:34.172+09:00,red,0,,,,,,,282,40561521538364,,
73,2026-07-24T22:26:34.372+09:00,red,0,,,,,,,285,40561721539325,,
74,2026-07-24T22:26:34.572+09:00,red,0,,,,,,,288,40561920422640,,
75,2026-07-24T22:26:34.773+09:00,red,0,,,,,,,291,40562120574833,,
76,2026-07-24T22:26:34.974+09:00,red,0,,,,,,,294,40562320655804,,
77,2026-07-24T22:26:35.174+09:00,red,0,,,,,,,297,40562520862404,,
78,2026-07-24T22:26:35.375+09:00,red,0,,,,,,,300,40562721007356,,
79,2026-07-24T22:26:35.575+09:00,red,0,,,,,,,303,40562922302230,,
80,2026-07-24T22:26:35.776+09:00,red,0,,,,,,,306,40563121295279,,
81,2026-07-24T22:26:35.976+09:00,red,0,,,,,,,309,40563321435490,,
82,2026-07-24T22:26:36.177+09:00,red,0,,,,,,,312,40563521531887,,
83,2026-07-24T22:26:36.377+09:00,red,0,,,,,,,315,40563721743394,,
84,2026-07-24T22:26:36.578+09:00,red,0,,,,,,,318,40563921975383,,
85,2026-07-24T22:26:36.778+09:00,red,0,,,,,,,321,40564121999336,,
86,2026-07-24T22:26:36.979+09:00,red,0,,,,,,,324,40564322129066,,
87,2026-07-24T22:26:37.179+09:00,red,0,,,,,,,327,40564522301277,,
88,2026-07-24T22:26:37.380+09:00,red,0,,,,,,,330,40564722486600,,
89,2026-07-24T22:26:37.580+09:00,red,0,,,,,,,333,40564922488923,,
90,2026-07-24T22:26:37.781+09:00,red,0,,,,,,,336,40565122728893,,
91,2026-07-24T22:26:37.981+09:00,red,0,,,,,,,339,40565323433528,,
92,2026-07-24T22:26:38.182+09:00,red,0,,,,,,,342,40565523024649,,
93,2026-07-24T22:26:38.382+09:00,red,0,,,,,,,345,40565723237805,,
94,2026-07-24T22:26:38.583+09:00,red,0,,,,,,,348,40565923203294,,
95,2026-07-24T22:26:38.783+09:00,red,0,,,,,,,351,40566124430952,,
96,2026-07-24T22:26:38.984+09:00,red,0,,,,,,,354,40566323556174,,
97,2026-07-24T22:26:39.185+09:00,red,0,,,,,,,357,40566523572355,,
98,2026-07-24T22:26:39.385+09:00,red,0,,,,,,,360,40566723829980,,
99,2026-07-24T22:26:39.585+09:00,red,0,,,,,,,363,40566923961180,,
100,2026-07-24T22:26:39.786+09:00,red,0,,,,,,,366,40567125244357,,
