attempt,window_started_at,target_color,color_visible,recognition_time_ms,color_center_x,color_center_y,color_center_distance_px,color_area_px,color_circularity,camera_frame_id,camera_captured_ns,detected_frame,failure_frame
1,2026-07-24T22:26:19.900+09:00,red,0,,,,,,,68,40547244059505,,
2,2026-07-24T22:26:20.100+09:00,red,0,,,,,,,71,40547443441640,,
3,2026-07-24T22:26:20.301+09:00,red,0,,,,,,,74,40547643605213,,
4,2026-07-24T22:26:20.501+09:00,red,0,,,,,,,77,40547843969876,,
5,2026-07-24T22:26:20.702+09:00,red,0,,,,,,,80,40548043676897,,
6,2026-07-24T22:26:20.903+09:00,red,0,,,,,,,83,40548243915081,,
7,2026-07-24T22:26:21.103+09:00,red,0,,,,,,,86,40548444152819,,
8,2026-07-24T22:26:21.304+09:00,red,0,,,,,,,89,40548644280930,,
9,2026-07-24T22:26:21.504+09:00,red,0,,,,,,,92,40548844472335,,
10,2026-07-24T22:26:21.705+09:00,red,0,,,,,,,95,40549044663223,,
11,2026-07-24T22:26:21.905+09:00,red,0,,,,,,,98,40549244769444,,
12,2026-07-24T22:26:22.106+09:00,red,0,,,,,,,101,40549444916906,,
13,2026-07-24T22:26:22.307+09:00,red,0,,,,,,,104,40549646374746,,
14,2026-07-24T22:26:22.507+09:00,red,0,,,,,,,107,40549845176052,,
15,2026-07-24T22:26:22.708+09:00,red,0,,,,,,,110,40550045206681,,
16,2026-07-24T22:26:22.908+09:00,red,0,,,,,,,113,40550245802251,,
17,2026-07-24T22:26:23.109+09:00,red,0,,,,,,,116,40550448097343,,
18,2026-07-24T22:26:23.309+09:00,red,0,,,,,,,119,40550645830936,,
19,2026-07-24T22:26:23.510+09:00,red,0,,,,,,,122,40550848470859,,
20,2026-07-24T22:26:23.710+09:00,red,0,,,,,,,125,40551046265136,,
21,2026-07-24T22:26:23.911+09:00,red,0,,,,,,,128,40551246833576,,
22,2026-07-24T22:26:24.112+09:00,red,0,,,,,,,131,40551447445034,,
23,2026-07-24T22:26:24.312+09:00,red,0,,,,,,,134,40551648358767,,
24,2026-07-24T22:26:24.513+09:00,red,0,,,,,,,137,40551847459167,,
25,2026-07-24T22:26:24.713+09:00,red,0,,,,,,,140,40552047624828,,
26,2026-07-24T22:26:24.914+09:00,red,0,,,,,,,143,40552247087296,,
27,2026-07-24T22:26:25.114+09:00,red,0,,,,,,,146,40552448724453,,
28,2026-07-24T22:26:25.315+09:00,red,0,,,,,,,149,40552647030791,,
29,2026-07-24T22:26:25.516+09:00,red,0,,,,,,,152,40552847672482,,
30,2026-07-24T22:26:25.716+09:00,red,0,,,,,,,155,40553047637054,,
31,2026-07-24T22:26:25.917+09:00,red,0,,,,,,,158,40553247510127,,
32,2026-07-24T22:26:26.117+09:00,red,0,,,,,,,161,40553449497056,,
33,2026-07-24T22:26:26.318+09:00,red,0,,,,,,,164,40553648786768,,
34,2026-07-24T22:26:26.518+09:00,red,0,,,,,,,167,40553848444325,,
35,2026-07-24T22:26:26.719+09:00,red,0,,,,,,,170,40554049348475,,
36,2026-07-24T22:26:26.920+09:00,red,0,,,,,,,173,40554249051495,,
37,2026-07-24T22:26:27.121+09:00,red,0,,,,,,,176,40554448817922,,
38,2026-07-24T22:26:27.321+09:00,red,0,,,,,,,179,40554650578132,,
39,2026-07-24T22:26:27.522+09:00,red,0,,,,,,,182,40554848667807,,
40,2026-07-24T22:26:27.723+09:00,red,0,,,,,,,185,40555048907263,,
