attempt,distance_m,interval_s,pre_recognition_settle_time_s,crop_scale,color_min_area_px,color_min_component_area_px,red_saturation_min,red_value_min,initial_gimbal_ros_deg,uwb_source,uwb_raw_azimuth_deg,uwb_ros_azimuth_deg,target_calculated_ros_deg,gimbal_command_ros_deg,servo_clipped,target_color,color_visible,color_success,color_recognition_time_ms,red_pixel_count,red_pixel_ratio_pct,red_saturation_mean,red_value_mean,color_component_area_px,color_center_distance_px,camera_frame_id,camera_captured_ns,failure_frame,status,started_at,finished_at,error_message
1,1.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,28,127.0.0.1:39157,27.1,-27.1,0.9000000000000057,0.9000000000000057,0,red,1,1,203.999742,4321,0.4688585069444444,146.35686183753762,114.44087016894238,4179.5,496.9064298235635,100,30017340343475,,success,2026-07-27T22:01:25.567+09:00,2026-07-27T22:01:28.689+09:00,
2,1.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,-27,127.0.0.1:39157,-18.4,18.4,-8.599999999999994,-8.599999999999994,0,red,1,1,62.760721,27408,2.9739583333333335,154.4117410974898,118.08745621716287,26995.0,456.98577658391076,138,30020403881318,,success,2026-07-27T22:01:28.691+09:00,2026-07-27T22:01:31.890+09:00,
3,1.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,-2,127.0.0.1:39157,-1.4,1.4,-0.5999999999999943,-0.5999999999999943,0,red,1,1,70.913841,27406,2.973741319444444,163.90064219513974,124.43950229876668,27123.5,17.26267650163207,170,30023606971936,,success,2026-07-27T22:01:31.891+09:00,2026-07-27T22:01:35.089+09:00,
4,1.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,40,127.0.0.1:39157,41.1,-41.1,-1.0999999999999943,-1.0999999999999943,0,red,0,0,,0,0.0,,,0.0,,217,30026746043665,failed_frames/attempt_004_color_not_detected.jpg,color_not_detected,2026-07-27T22:01:35.091+09:00,2026-07-27T22:01:38.094+09:00,
5,1.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,49,127.0.0.1:39157,52.7,-52.7,-3.6999999999999886,-3.6999999999999886,0,red,0,0,,0,0.0,,,0.0,,265,30029943885796,failed_frames/attempt_005_color_not_detected.jpg,color_not_detected,2026-07-27T22:01:38.095+09:00,2026-07-27T22:01:41.296+09:00,
6,1.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,0,127.0.0.1:39157,-0.9,0.9,0.9000000000000057,0.9000000000000057,0,red,,0,,,,,,,,297,30032079889791,failed_frames/attempt_006_camera_frame_timeout.jpg,camera_frame_timeout,2026-07-27T22:01:41.297+09:00,2026-07-27T22:01:44.495+09:00,
7,1.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,1,127.0.0.1:39157,-0.6,0.6,1.5999999999999943,1.5999999999999943,0,red,1,1,69.241173,27317,2.9640842013888893,163.41523593366767,124.61690522385328,27036.5,22.02271554554524,339,30036215002879,,success,2026-07-27T22:01:44.497+09:00,2026-07-27T22:01:47.697+09:00,
8,1.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,-15,127.0.0.1:39157,-10.7,10.7,-4.300000000000011,-4.300000000000011,0,red,1,1,75.613348,27922,3.0297309027777777,163.08230069479262,123.8964973855741,27637.0,221.38202275704322,387,30039417694102,,success,2026-07-27T22:01:47.698+09:00,2026-07-27T22:01:50.897+09:00,
9,1.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,9,127.0.0.1:39157,7.3,-7.3,1.6999999999999886,1.6999999999999886,0,red,1,1,75.637872,28395,3.0810546875,166.16055643599225,124.6057756647297,28109.5,250.44959572736389,435,30042619239828,,success,2026-07-27T22:01:50.898+09:00,2026-07-27T22:01:54.095+09:00,
10,1.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,-50,127.0.0.1:39157,-41.8,41.8,-8.199999999999989,-8.199999999999989,0,red,0,0,,0,0.0,,,0.0,,480,30045958640274,failed_frames/attempt_010_color_not_detected.jpg,color_not_detected,2026-07-27T22:01:54.096+09:00,2026-07-27T22:01:57.296+09:00,
11,1.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,-24,127.0.0.1:39157,-17.5,17.5,-6.5,-6.5,0,red,1,1,83.790485,28147,3.0541449652777777,157.48125910398977,119.99165097523715,27873.0,397.7863748295057,524,30049027354850,,success,2026-07-27T22:01:57.297+09:00,2026-07-27T22:02:00.495+09:00,
12,1.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,44,127.0.0.1:39157,47.0,-47.0,-3.0,-3.0,0,red,0,0,,0,0.0,,,0.0,,572,30052360483515,failed_frames/attempt_012_color_not_detected.jpg,color_not_detected,2026-07-27T22:02:00.496+09:00,2026-07-27T22:02:03.696+09:00,
13,1.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,6,127.0.0.1:39157,3.8,-3.8,2.1999999999999886,2.1999999999999886,0,red,1,1,92.070904,27657,3.0009765625,167.07404996926638,123.84155909896229,27375.0,162.30834852218786,618,30055434322028,,success,2026-07-27T22:02:03.697+09:00,2026-07-27T22:02:06.895+09:00,
14,1.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,24,127.0.0.1:39157,25.0,-25.0,-1.0,-1.0,0,red,1,1,161.119611,5302,0.5753038194444444,159.66861561674838,111.2883817427386,5383.0,586.4912616569833,665,30058698907579,,success,2026-07-27T22:02:06.897+09:00,2026-07-27T22:02:10.092+09:00,
